"box";"file_no";"vid_row_id";"date_";"vid_action";"datetime_vid";"vid_dur";"vid_comment_txt";"vid_act_se"
"132";"006";"n2";132;2017-05-18;"IN";2017-05-18 11:49:36.078;7740;NA;0
"133";"006";"n2";133;2017-05-18;"IN";2017-05-18 11:49:43.762;7740;NA;0
"134";"006";"n2";134;2017-05-18;"OUT";2017-05-18 11:49:52.881;7740;NA;0
"135";"006";"n2";135;2017-05-18;"OUT";2017-05-18 11:49:58.401;7740;NA;0
"136";"006";"n2";136;2017-05-18;"IN";2017-05-18 11:50:28.759;7740;NA;0
"137";"006";"n2";137;2017-05-18;"OUT";2017-05-18 11:50:36.921;7740;NA;0
"138";"006";"n2";138;2017-05-18;"IN";2017-05-18 11:51:44.598;7740;NA;0
"139";"006";"n2";139;2017-05-18;"OUT";2017-05-18 11:52:48.081;7740;NA;0
"140";"006";"n2";140;2017-05-18;"IN";2017-05-18 11:58:06.201;7740;NA;0
"141";"006";"n2";141;2017-05-18;"OUT";2017-05-18 11:58:25.398;7740;NA;0
"142";"006";"n2";142;2017-05-18;"IN";2017-05-18 12:00:20.002;7740;NA;0
"143";"006";"n2";143;2017-05-18;"OUT";2017-05-18 12:00:36.562;7740;NA;0
"144";"006";"n2";144;2017-05-18;"pers_trans";2017-05-18 12:15:24.134;7740;"Peter Loes Transponder in Box";0
"145";"034";"n1";145;2017-05-18;"IN";2017-05-18 09:53:26.000;7980;NA;0
"146";"034";"n1";146;2017-05-18;"pers_trans";2017-05-18 09:53:26.957;7980;"Peter Loes Transponder in Box um 09:53:00 Uhr";0
"147";"034";"n1";147;2017-05-18;"IN";2017-05-18 09:54:45.204;7980;NA;0
"148";"034";"n1";148;2017-05-18;"OUT";2017-05-18 09:54:53.717;7980;NA;0
"149";"034";"n1";149;2017-05-18;"OUT";2017-05-18 09:54:58.390;7980;NA;0
"150";"034";"n1";150;2017-05-18;"IN";2017-05-18 09:56:39.303;7980;NA;0
"151";"034";"n1";151;2017-05-18;"OUT";2017-05-18 09:56:49.997;7980;NA;0
"152";"034";"n1";152;2017-05-18;"IN";2017-05-18 09:58:33.901;7980;NA;0
"153";"034";"n1";153;2017-05-18;"OUT";2017-05-18 09:58:43.999;7980;NA;0
"154";"034";"n1";154;2017-05-18;"FRONT";2017-05-18 10:02:34.630;7980;NA;1
"155";"034";"n1";155;2017-05-18;"IN";2017-05-18 10:02:38.720;7980;NA;0
"156";"034";"n1";156;2017-05-18;"IN";2017-05-18 10:02:45.657;7980;NA;0
"157";"034";"n1";157;2017-05-18;"OUT";2017-05-18 10:02:51.911;7980;NA;0
"158";"034";"n1";158;2017-05-18;"OUT";2017-05-18 10:02:54.917;7980;NA;0
"159";"034";"n1";159;2017-05-18;"IN";2017-05-18 10:03:41.717;7980;NA;0
"160";"034";"n1";160;2017-05-18;"OUT";2017-05-18 10:03:51.312;7980;NA;0
"161";"034";"n1";161;2017-05-18;"IN";2017-05-18 10:05:46.397;7980;NA;0
"162";"034";"n1";162;2017-05-18;"OUT";2017-05-18 10:05:54.073;7980;NA;0
"163";"034";"n1";163;2017-05-18;"FRONT";2017-05-18 10:08:34.634;7980;NA;1
"164";"034";"n1";164;2017-05-18;"IN";2017-05-18 10:08:36.437;7980;NA;0
"165";"034";"n1";165;2017-05-18;"OUT";2017-05-18 10:09:44.237;7980;NA;0
"166";"034";"n1";166;2017-05-18;"IN";2017-05-18 10:10:48.197;7980;NA;0
"167";"034";"n1";167;2017-05-18;"OUT";2017-05-18 10:10:59.111;7980;NA;0
"168";"034";"n1";168;2017-05-18;"IN";2017-05-18 10:11:15.312;7980;NA;0
"169";"034";"n1";169;2017-05-18;"OUT";2017-05-18 10:11:21.190;7980;NA;0
